Partenaire,Type,Marque,Modele,CodeReparation,Reparation,Tarif HT,Tarifs_TTC
Captain,Mobile,Apple,iPhone 6 Plus,D1,Ecran ,99.17 €,119.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D9,Batterie,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D5,Caméra avant,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D6,Caméra arrière,54.17 €,65.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D17,Bouton home,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D16,Bouton vibreur,57.50 €,69.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D21,Bouton volume,57.50 €,69.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D33,Problème de charge,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D36,Bouton Power,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D34,Prise Jack,57.50 €,69.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D35,Antenne Réseau,57.50 €,69.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D15,Vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D12,Haut Parleur Mains Libre,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D11,Haut parleur d'écoute,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6 Plus,D3,Tombé dans l'eau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D1,Ecran ,82.50 €,99.00 €
Captain,Mobile,Apple,iPhone 6,D9,Batterie,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 6,D5,Caméra avant,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D6,Caméra arrière,54.17 €,65.00 €
Captain,Mobile,Apple,iPhone 6,D17,Bouton home,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D16,Bouton vibreur,57.50 €,69.00 €
Captain,Mobile,Apple,iPhone 6,D21,Bouton volume,57.50 €,69.00 €
Captain,Mobile,Apple,iPhone 6,D33,Problème de charge,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D36,Bouton Power,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D15,Vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D34,Prise Jack,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D35,Antenne réseau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D12,Haut Parleur Mains Libre,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D11,Haut parleur d'écoute,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 6,D3,Tombé dans l'eau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D1,Ecran ,65.83 €,79.00 €
Captain,Mobile,Apple,iPhone 5S,D9,Batterie,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5S,D5,Caméra avant,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5S,D6,Caméra arrière,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5S,D17,Bouton home,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5S,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D33,Problème de charge,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D35,Antenne réseau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D34,Prise Jack,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D15,Vibreur,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5S,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D36,Bouton power,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5S,D11,Haut parleur d'écoute,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5S,D3,Tombé dans l'eau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D1,Ecran ,65.83 €,79.00 €
Captain,Mobile,Apple,iPhone 5C,D9,Batterie,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5C,D33,Problème de charge,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D17,Bouton home,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5C,D5,Caméra avant,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5C,D6,Caméra arrière,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5C,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D36,Bouton Power,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D34,Prise jack,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D13,Micro,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D35,Antenne réseau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D19,Antenne WiFi,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D15,Vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D12,Haut Parleur Mains Libre,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5C,D11,Haut parleur d'écoute,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5C,D3,Tombé dans l'eau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D1,Ecran ,65.83 €,79.00 €
Captain,Mobile,Apple,iPhone 5,D9,Batterie,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5,D33,Problème de charge,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5,D17,Bouton home,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5,D5,Caméra avant,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5,D6,Caméra arrière,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D36,Bouton Power,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D2,Châssis,90.83 €,109.00 €
Captain,Mobile,Apple,iPhone 5,D2,Châssis,90.83 €,109.00 €
Captain,Mobile,Apple,iPhone 5,D34,Prise jack,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D34,Prise jack,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D13,Micro,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D13,Micro,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D35,Antenne réseau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D16,Bouton vibreur,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D21,Bouton volume,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D15,Vibreur,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 5,D12,Haut Parleur Mains Libre,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 5,D11,Haut parleur d'écoute,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 5,D3,Tombé dans l'eau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 4S,D1,Ecran ,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 4S,D9,Batterie,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D33,Problème de charge,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D17,Bouton home,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D5,Caméra avant,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D6,Caméra arrière,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D16,Bouton vibreur,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D21,Bouton volume,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D36,Bouton Power,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D2,Châssis,74.17 €,89.00 €
Captain,Mobile,Apple,iPhone 4S,D34,Prise jack,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D34,Prise jack,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D13,Micro,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D13,Micro,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D35,Antenne réseau,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D28,Vitre arrière,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D28,Vitre arrière,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D33,Problème de charge,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D19,Antenne WiFi,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4S,D15,Vibreur,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D12,Haut Parleur Mains Libre,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D11,Haut parleur d'écoute,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4S,D3,Tombé dans l'eau,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 4,D1,Ecran ,49.17 €,59.00 €
Captain,Mobile,Apple,iPhone 4,D9,Batterie,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4,D28,Vitre arrière,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4,D28,Vitre arrière,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4,D33,Problème de charge,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4,D33,Problème de charge,40.83 €,49.00 €
Captain,Mobile,Apple,iPhone 4,D17,Bouton home,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4,D5,Caméra avant,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4,D6,Caméra arrière,32.50 €,39.00 €
Captain,Mobile,Apple,iPhone 4,D16,Bouton vibreur,40.83 €,49.00 €
