Gamme,Marque,Modèle,Mois,Neuf,Occasion,TauxDep
Android,Samsung,Galaxy J3,0.0,219.0,121.42857140000001,0.44553163700000004
Android,Huawei,P10 ,8.8,599.0,341.6657143,0.42960648700000004
Android,Asus,Zenfone 3 max,14.55,249.0,145.8371429,0.41430866299999997
Android,Asus,ZenFone 3,14.6,379.0,160.0,0.577836412
Android,Asus,Zenfone 3 Laser ,14.6,279.0,174.8328571,0.373358935
Android,Samsung,Galaxy J7,16.17333333,339.0,164.5,0.514749263
Android,Sony,Xperia XA,16.52592593,300.0,143.3328571,0.52222381
Android,Huawei,P9 32 Go,17.14814815,549.0,227.12857140000003,0.586286755
Android,Samsung,Galaxy A5 ,18.0,506.0,106.25,0.790019763
Android,Wiko,Ufeel,18.66666667,199.99,99.08333333,0.504558561
Android,Wiko ,Ufeel,18.66666667,199.99,99.08333333,0.504558561
Android,Wiko ,Ufeel lite ,18.66666667,169.99,98.75,0.419083475
Android,Samsung,Galaxy J3 ,19.60740741,219.0,121.42857140000001,0.44553163700000004
Android,Motorola,Moto G4 plus,19.7,229.99,137.9,0.40040871299999997
Android,Huawei,P9,19.76666667,549.0,233.6533333,0.5744019429999999
Android,Wiko ,Lenny,29.86666667,100.0,35.0,0.65
Android,Wiko ,Wax,36.23333333,200.0,60.83285714,0.6958357140000001
Android,Wiko ,Iggy,47.76666667,129.0,40.0,0.689922481
Android,Wiko ,Darfull,49.8,300.0,191.81,0.36063333299999994
Android,Samsung,Galaxy J5 (2016),20.0,279.0,159.75,0.427419355
Android,Sony,Xperia L1,9.0,199.0,135.99,0.316633166
Android,Sony,"Xperia XZ 1 Compact, 32Go",2.0,569.0,419.99,0.261880492
Android,Sony,"Xperia XA 1, Double SIM, 32Go",8.0,300.0,219.99,0.2667
Android,Alcatel,Idol 5,3.0,239.0,207.48,0.131882845
Android,Alcatel,A7 XL,3.0,279.0,180.66,0.352473118
Android,Alcatel,Pop 4 (6),8.0,249.0,203.26,0.18369477899999997
Android,Asus,Zenfone 3,18.0,399.0,244.89,0.38624060200000004
Android,ZTE,Axon 7 Mini,15.0,299.0,189.0,0.367892977
Android,OnePlus,3,18.0,399.0,260.0,0.34837092700000005
Android,Honor,7X,1.0,299.0,260.0,0.130434783
Android,Samsung,Galaxy J7 (2017),6.0,339.0,260.0,0.233038348
Android,Motorola,Moto X4,3.0,339.0,229.0,0.324483776
Android,Nokia,6,12.0,299.0,231.27,0.22652173899999997
Android,BlackBerry,KEYone,7.0,599.0,415.99,0.30552587600000003
Android,Huawei,P8 Lite,32.0,250.0,145.0,0.42
Android,Huawei,P10 Lite,3.0,379.0,229.98,0.39319261200000005
Android,OnePlus,3T 128Go,13.0,479.0,290.0,0.394572025
Android,OnePlus,3T 64Go,13.0,439.0,300.0,0.683371298
Android,Asus,Zenfone 2 (ZE551ML),34.0,349.0,269.99,0.226389685
Android,Asus,Zenfone 2 (ZE500CL),34.0,199.0,125.58,0.368944724
Android,Asus,ZenFone Selfie (ZD551KL),27.0,299.0,216.64,0.275451505
Android,Samsung,Galaxy A3 (2015),37.0,299.0,100.0,0.665551839
Android,Samsung,Galaxy A5 (2015),37.0,399.0,120.0,0.69924812
Android,Samsung,Galaxy A7 (2015),37.0,499.0,170.0,0.659318637
Android,Samsung,Galaxy A3 (2016),23.0,329.0,100.0,0.696048632
Android,Samsung,Galaxy A5 (2016),23.0,409.0,150.0,0.633251834
Android,Samsung,Galaxy A7 (2016),23.0,509.0,170.0,0.6660117879999999
Android,Samsung,Galaxy A3 (2017),12.0,329.0,180.0,0.452887538
Android,Samsung,Galaxy A5 (2017),12.0,429.0,170.0,0.603729604
Android,Samsung,Galaxy A7 (2017),12.0,499.0,245.1,0.508817635
Android,Samsung,Galaxy S5 Mini,44.0,479.0,120.0,0.7494780790000001
Android,Samsung,Galaxy Ace 4,41.0,179.0,60.0,0.664804469
Android,Samsung,Galaxy J3 (2017),6.0,219.0,120.0,0.452054795
Android,Samsung,Galaxy J5 (2017),6.0,279.0,150.0,0.462365591
Android,Samsung,Galaxy J1 (2016),19.0,159.0,70.0,0.559748428
Android,Samsung,Galaxy J3 (2016),19.0,189.0,80.0,0.576719577
Android,Samsung,Galaxy J7 (2016),19.0,299.0,130.0,0.565217391
Android,Sony,Xperia Z3 Compact,38.0,499.0,120.0,0.759519038
Android,Sony,Xperia E4,34.0,100.0,70.0,0.3
Android,Sony,Xperia E4G,32.0,129.0,60.0,0.534883721
Android,Sony,Xperia M4 Aqua,31.0,279.0,120.0,0.569892473
Android,Sony,Xperia C4,31.0,349.0,120.0,0.656160458
Android,Sony,Xperia XA1,9.0,299.0,160.0,0.464882943
Android,Sony,Xperia C5 Ultra,29.0,390.0,180.0,0.538461538
Android,Sony,Xperia M5,24.0,400.0,200.0,0.5
Android,Sony,Xperia Z5 Compact,30.0,599.0,180.0,0.699499165
Android,Sony,Xperia X,19.0,599.0,200.0,0.666110184
Android,Sony,Xperia X Compact,16.0,449.0,100.0,0.7772828509999999
Android,Sony,Xperia XZ,9.0,499.0,230.0,0.539078156
Android,Sony,Xperia XA1 Ultra,8.0,300.0,200.0,0.333333333
Android,Sony,Xperia XA1 Plus,2.0,349.0,200.0,0.426934097
Android,Sony,Xperia T3,42.0,399.0,177.0,0.5563909770000001
Android,Sony,Xperia SP,58.0,389.79,70.0,0.820416122
Android,Huawei,Honor 9,6.0,429.0,300.0,0.30069930100000003
Android,Huawei,Honor 9 Lite - 32Go,1.0,190.0,138.02,0.273578947
Android,Huawei,Honor 9 Lite - 64Go,1.0,230.0,172.0,0.252173913
Android,Huawei,Enjoy 7S,1.0,239.99,208.77,0.130088754
Android,Huawei,P10,9.0,599.0,300.0,0.499165275
Android,Huawei,Honor 6C Pro,2.0,179.0,169.0,0.055865922
Android,Huawei,Honor 6C,8.0,229.0,155.27,0.321965066
Android,Huawei,Honor 7X,1.0,300.0,261.1,0.12966666699999999
Android,Huawei,Honor 6X,12.0,249.0,130.0,0.47791164700000005
Android,Xiaomi,Redmi Note 4,16.0,250.0,117.0,0.532
Android,Huawei,Nova,15.0,369.0,130.0,0.647696477
Android,Huawei,Nova 2,19.0,399.0,214.47,0.46248120299999995
Android,Huawei,Y6 Pro,5.0,179.0,80.0,0.5530726260000001
Android,Huawei,P9 Lite,19.0,299.0,120.0,0.5986622070000001
Android,OnePlus,5,6.0,499.99,400.0,0.199984
Android,OnePlus,5T - 64Go,1.0,499.0,420.0,0.158316633
Android,OnePlus,5T - 128Go,1.0,559.0,500.0,0.105545617
Android,Asus,Zenfone 2,33.0,299.0,90.0,0.6989966559999999
Android,Asus,Zenfone 2 Laser,35.0,249.0,50.0,0.7991967870000001
Android,Asus,Zenfone 3 Max,14.0,249.0,120.0,0.518072289
Android,Asus,Zenfone 3 Laser,14.0,279.0,185.0,0.336917563
Android,Asus,Zenfone 4,3.0,499.0,290.0,0.418837675
Android,Asus,Zenfone 4 Max,3.0,230.0,150.0,0.347826087
Android,Asus,Zenfone 4 Max Plus,3.0,250.0,200.0,0.2
Android,Asus,Zenfone 4 Selfie,3.0,299.0,140.0,0.531772575
Android,Asus,Zenfone 4 Selfie Pro,3.0,399.0,220.0,0.448621554
Android,LG,K10,23.0,250.0,100.0,0.6
Android,LG,K7,21.0,200.0,90.0,0.55
Android,LG,G2,53.0,599.0,120.0,0.79966611
Android,LG,G3,42.0,549.0,100.0,0.817850638
Android,Sony,Xperia Z1 Compact,47.0,549.0,110.0,0.7996357009999999
Android,Sony,Xperia M2,46.0,199.0,100.72,0.493869347
Android,Sony,Xperia XA Dual,18.0,299.0,100.0,0.665551839
Android,Sony,Xperia XA Ultra,20.0,399.0,200.0,0.49874686700000004
Android,Sony,Xperia E5,19.0,199.0,100.0,0.49748743700000003
Android,HTC,One S9,20.0,499.0,250.0,0.498997996
Android,HTC,One A9,26.0,599.0,100.0,0.833055092
Android,HTC,U Play,10.0,449.0,150.0,0.665924276
Android,HTC,Desire 530,21.0,159.0,69.98,0.559874214
Android,Meizu,M5C,6.0,129.9,80.0,0.38414164700000003
Android,Meizu,M5 Note,10.0,199.0,120.0,0.396984925
Android,Meizu,Pro 7,3.0,449.9,275.0,0.38875305600000004
Android,Meizu,Pro 7 Plus,3.0,549.9,376.52,0.31529369
Android,Nokia,8,6.0,499.0,399.99,0.198416834
Android,Kodak,Ektra,11.0,500.0,164.9,0.6702
Android,Echo,Moon,10.0,129.99,80.0,0.384568044
Android,Wiko,Lenny 3,21.0,99.0,60.0,0.393939394
Apple,Apple,Iphone 7  - 128 Go,0.0,879.0,619.25,0.295506257
Apple,Apple,Iphone 7  - 128 Go,13.41666667,879.0,619.25,0.295506257
Apple,Apple,Iphone 6s plus 16 Go,39.7,859.0,339.5,0.604772992
Apple,Apple,Iphone 6s plus 64 Go,39.7,959.0,405.0,0.577685089
Apple,Apple,Iphone 6s plus 128 Go,39.7,1079.0,513.3325,0.5242516220000001
Apple,Apple,Iphone 5S 16Go,48.76666667,629.0,154.19,0.754864865
Apple,Apple,Iphone 5S 64Go,52.46666667,742.3333332999997,204.7275,0.724210822
Apple,Apple,Iphone 6 - 16Go,39.0,709.0,279.0,0.606488011
Apple,Apple,Iphone 6 - 64Go,39.0,809.0,338.4,0.58170581
Apple,Apple,Iphone SE - 16Go,21.0,489.0,247.6,0.49366053200000004
Apple,Apple,Iphone SE - 64Go,21.0,589.0,319.0,0.458404075
Apple,Apple,Iphone X - 64Go,2.0,1159.0,1039.99,0.10268334800000001
Apple,Apple,Iphone 8 - 64 Go,3.0,809.0,794.99,0.017317676
