Partrenaires,Type,Marque,Modele,CodeReparation,Reparation,Tarif_HT,Tarif TTC
DIL,Mobile,Apple,iPhone 8 Plus,D1,Ecran,165.00 Û,
DIL,Mobile,Apple,iPhone 8,D1,Ecran,150.00 Û,
DIL,Mobile,Apple,iPhone 7 Plus,D1,Ecran,165.00 Û,
DIL,Mobile,Apple,iPhone 7,D1,Ecran,150.00 Û,
DIL,Mobile,Apple,iPhone 6S Plus,D1,Ecran,165.00 Û,
DIL,Mobile,Apple,iPhone 6S,D1,Ecran,150.00 Û,
DIL,Mobile,Apple,iPhone 6 Plus,D1,Ecran,150.00 Û,
DIL,Mobile,Apple,iPhone 6,D1,Ecran,130.00 Û,
DIL,Mobile,Apple,iPhone SE,D1,Ecran,130.00 Û,
DIL,Mobile,Apple,iPhone 5S,D1,Ecran,130.00 Û,
DIL,Mobile,Apple,iPhone 5C,D1,Ecran,130.00 Û,
DIL,Mobile,Apple,iPhone 5,D1,Ecran,130.00 Û,
DIL,Mobile,Apple,iPhone 8 Plus,D26,Swap,377.32 Û,
DIL,Mobile,Apple,iPhone 8,D26,Swap,334.35 Û,
DIL,Mobile,Apple,iPhone 7 Plus,D26,Swap,342.94 Û,
DIL,Mobile,Apple,iPhone 7,D26,Swap,308.56 Û,
DIL,Mobile,Apple,iPhone 6S Plus,D26,Swap,325.74 Û,
DIL,Mobile,Apple,iPhone 6S,D26,Swap,291.38 Û,
DIL,Mobile,Apple,iPhone 6 Plus,D26,Swap,325.74 Û,
DIL,Mobile,Apple,iPhone 6,D26,Swap,291.38 Û,
DIL,Mobile,Apple,iPhone SE,D26,Swap,256.99 Û,
DIL,Mobile,Apple,iPhone 5S,D26,Swap,256.99 Û,
DIL,Mobile,Apple,iPhone 5C,D26,Swap,256.99 Û,
DIL,Mobile,Apple,iPhone 5,D26,Swap,256.99 Û,
DIL,Mobile,Apple,iPhone 4S,D26,Swap,171.04 Û,
DIL,Mobile,Apple,iPhone 8 Plus,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 8,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 7 Plus,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 7,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 6S Plus,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 6S,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 6 Plus,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 6,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone SE,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 5S,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 5C,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 5,D9,Batterie,80.82 Û,
DIL,Mobile,Apple,iPhone 4S,D9,Batterie,80.82 Û,
