Ref,Reparation,,,,
D1,Ecran,,,,
D2,Chassis tordu,,,,
D3,Oxydation/prise d'eau,,,,
D4,Ne s’allume plus,,,,
D5,Caméra avant,,,,
D6,Caméra arrière,,,,
D7,Lecteur SIM ,,,,
D8,Lecteur SD ,,,,
D9,Batterie,,,,
D10,Ecouteur   ,,,,
D11,Haut parleur écoute,,,,
D12,Haut parleur main libre,,,,
D13,Micro,,,,
D14,Ecouteur  ,,,,
D15,Vibreur ,,,,
D16,Bouton vibreur,,,,
D17,Bouton Home/principal,,,,
D18,Coque arrière/Façade arrière,,,,
D19,Wifi ,,,,
D20,Bouton vibreur,,,,
D21,Boutons volume,,,,
D22,Bouton Appareil Photo,,,,
D23,Problème de lecture,,,,
D24,Boutons latéraux,,,,
D25, GSM,,,,
D26,Swap,,,,
D27,Qualité Premium,,,,
D28,vitre Ou face arrière,,,,
D29,Bluetooth,,,,
D30,Autre,,,,
D31,Capteur de proxité,,,,
D32,Lecteur SIM & SD,,,,
D33,Problème de charge ,,,,
D34,Prise Jack,,,,
D35,Antenne réseau,,,,
D36,Bouton Power,,,,
D37,Micro Ambiance,,,,
D38,Tiroir SIM,,,,
D39,Déblocage opérateur,,,,
D40,Flash,,,,
D41,Logiciel Panne/Intervention,,,,
D42,Tiroir SD,,,,
